log_downloads,maintainer_count,age_days,days_since_update,vuln_count,malware_reports,verified_flags,has_install_script,install_script_kb,has_preinstall,has_postinstall,maintainer_change_count,maintainer_velocity,domain_age_days,executable_binary_count,network_code_files,log_total_files,entropy_max_file,dependency_delta,log_version_count,days_between_versions,log_stars,log_forks,namespace_age_days,download_star_anomaly,label
18.027671,1.000000,3533.628492,36.364631,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.060443,290.883907,0.000000,0.000000,3533.628492,0.000000,0.000000
14.236274,1.000000,4477.823783,7.806212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.093750,2.020508,0.000000,0.000000,4477.823783,0.000000,0.000000
16.395683,2.000000,1528.951051,8.055684,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.094345,22.985909,0.000000,0.000000,1528.951051,0.000000,0.000000
18.027509,1.000000,4738.061068,147.811886,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.204693,219.774425,0.000000,0.000000,4738.061068,0.000000,0.000000
18.954384,2.000000,3823.798457,144.848831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.859812,130.938618,0.000000,0.000000,3823.798457,0.000000,0.000000
19.484738,1.000000,2812.286493,11.911925,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.252273,28.570675,0.000000,0.000000,2812.286493,0.000000,0.000000
18.668082,2.000000,5353.378415,0.856441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.207674,0.499679,0.000000,0.000000,5353.378415,0.000000,0.000000
17.732420,2.000000,5373.309545,74.143330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.882802,162.248673,0.000000,0.000000,5373.309545,0.000000,0.000000
16.602852,1.000000,4001.962086,10.556567,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.931826,58.537050,0.000000,0.000000,4001.962086,0.000000,0.000000
17.002425,2.000000,5344.915165,1363.570545,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.401197,137.056383,0.000000,0.000000,5344.915165,0.000000,1.000000
15.595397,1.000000,4890.519601,121.066695,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.433987,205.060759,0.000000,0.000000,4890.519601,0.000000,0.000000
17.528144,1.000000,6157.368700,113.105812,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.761200,71.776911,0.000000,0.000000,6157.368700,0.000000,0.000000
16.614072,5.000000,5493.039408,142.375622,0.000000,0.000000,0.000000,1.000000,0.013672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.025352,365.000000,0.000000,0.000000,5493.039408,0.000000,0.000000
6.862758,1.000000,3153.543524,1401.090594,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.386294,0.553219,0.000000,0.000000,3153.543524,0.000000,1.000000
19.019327,1.000000,6903.759774,89.127121,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.574711,53.262670,0.000000,0.000000,6903.759774,0.000000,0.000000
15.494707,2.000000,4288.122965,1303.899876,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.713572,36.858060,0.000000,0.000000,4288.122965,0.000000,1.000000
17.337057,2.000000,5315.125177,294.207386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.613128,104.788352,0.000000,0.000000,5315.125177,0.000000,0.000000
